Subject,Relation,Object 
చారిత్రకంగా సైనీల,వీలుపడదు,కులాల్లో
నేటి పరిస్థితి,కనుమరుగైపోయింది,ఒకవేళ
పంజాబీ సైనీ,ఉన్నాయి,వర్గంలో
ఉదాహరణకు హోషియారాపూర్,దాటిపోరు,జిల్లాలను
తరగతిగా,పేర్కొనేవారు,వారిని
వృత్తిపరమైన వర్గాలు,తెలుస్తోంది,గుర్తించడంలో
సైనీలు ప్రత్యేక,కన్పిస్తోంది,కచ్చితమైన
కులం రాజపుత్,చేర్చబడింది,వర్గంలో
రాజపుత్ మాలీలు,మార్చుకున్నారు,సైనీలుగా గుర్తింపును
పంజాబ్ సైనీలు,చేసుకోలేదు,కులంతో కులాలతోనూ
జోగేంద్ర నాథ్,గుర్తించింది,భట్టాచార్య
ఎడ్వర్డ్ బాల్‌ఫోర్,గుర్తించారు,885లో
సైనీలు కూరగాయల,గుర్తించడం,వ్యవసాయం
హర్యానాకి మాలీలు,జరిగింది,సైనీల 1994లో
అదే గతంలో,పనిచేశారు,సంస్థానాల్లో
సైనీలు ఇతరులు,చేయలేదు,పనులు
2 మాలీ,పనిచేసేవారు,వ్యవసాయ
3 విద్యాపరంగా,ఉండేవారు,ముందంజలో
పెదకంతవరం విశాఖపట్నం,గ్రామము,జిల్లా
బాలబడి ప్రాథమికోన్నత,ఉన్నాయి,మాడుగులలో
సైన్స్ డిగ్రీ,ఉన్నాయి,కళాశాల పాడేరులోనూ
సమీప వైద్య,ఉన్నాయి,కళాశాల పాడేరులోనూ
వృత్తి విద్యా,ఉన్నాయి,అనకాపల్లిలోను
సంచార వైద్య,లేరు,శాలలో
గ్రామంలో ఏడాది,అందుతుంది,చేతిపంపుల
మురుగునీటిని శుద్ధి,పంపిస్తున్నారు,ప్లాంట్‌లోకి
గ్రామంలో పారిశుధ్య,అమలవుతోంది,పథకం
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
జిల్లా రహదారి,పోతోంది,గ్రామం
పొది విజయనగరం,గ్రామము,జిల్లా
జాతీయగీతంగా రాజ్యాంగ,స్వీకరించింది,సభ
గీతానికి సంగీత,సృష్టించాడు,ఠాగూర్
ఠాగూర్ జనగణమనను,భావిస్తారు,1919 మదనపల్లెలో ఆంగ్లములోకి
తర్జుమా నేటికినీ,యున్నది,కాలేజి మదనపల్లెలో
కజిన్స్ కోరిక,ఆలపించాడు,మంది బెంగాలీలో
పంజాబు సింధు,తరంగాలు,లతో రాష్ట్రాలతో
శుభ నామమే,మనసుల,శుభ
మలయాళ మలయాళీలు,అంటారు,వారిని
దక్షిణ భారత,మాట్లాడుతారు,దేశంలో
మలయాళ మలయాళం,భాష,మలయాళ కుటుంబానికి
మలయాళం దక్షిణ,భాష,కుటుంబానికి
తమిళం కన్నడం,చెందినవే,ఉపకుటుంబానికి
మలయాళ భాష,నమ్మకం,శతాబ్దాలుగా
మలయాళం తమిళం,వెలసింది,భాషగా
నంబూద్రీలు కేరళ,ఇండో,జీవితంలో
ఆర్యన్ భాషాగుణాలు,చేశాయి,భాషలో
ఆది మలయాళ,వర్గీకరించవచ్చు,సాహిత్యాన్ని
అవి శతాబ్దం,కనబడుతుంది,కవిత్వంలో
అఖిల భారత,అవతరించింది,శతాబ్దంలో
కొత్త వ్రాత,పెట్టారు,పద్ధతిని
కొత్త పద్ధతి,తగ్గించింది,అక్షరాలను
మలయాళ లిపి,ఇమడగలిగింది,కీబోర్డుల
౧౯౯౯లో చిత్రజకుమార్,స్థాపించిన,హుస్సేన్
సంస్థ మెత్తం,చేసింది,తిరువనంతపురంలో
౨౦౦౪లో ఫ్రీ,చేసారు,కొచ్చిన్లో
ప్రాంతం కులం,phonologica,of
మలయాళం సంస్కృతం,అరువుతెచ్చుకున్నది,indeclinables
పదాలు సంస్కృతం,చేరుకున్నాయ్యి,భాషకు
ఆధునిక మలయాళ,సమన్వితాలే,many
ఉదార స్వభావులైన,ఆహ్వానించారు,భాషతో
భాషలతో పరస్పరలే,చేశాయి,రీతులలో
సారవకోట శ్రీకాకుళం,కేంద్రము,పేరుతో
నాలిక నోటీలో,తాలవ్యం,పళ్ళపై
శ్రీరాంపురం విశాఖపట్నం,గ్రామము,జిల్లా
గ్రామంలో ప్రభుత్వ,ఉన్నాయి,ఒకటి
సైన్స్ డిగ్రీ,ఉన్నాయి,కళాశాల పాయకరావుపేటలోనూ
వైద్య కళాశాల,ఉన్నాయి,నర్సీపట్నంలోనూ
పారామెడికల్ సిబ్బంది,ఉన్నారు,ఒకరు
గ్రామంలో ప్రైవేటు,సౌకర్యాలున్నాయి,వైద్య
ఎమ్బీబీయెస్ డాక్టర్లు,ఉన్నారు,ఇద్దరు
గ్రామంలో కుళాయిల,జరుగుతోంది,సరఫరా
గ్రామంలో ఏడాది,అందుతుంది,చేతిపంపుల
మురుగునీరు బహిరంగ,ప్రవహిస్తుంది,కాలువల
గ్రామంలో పారిశుధ్య,అమలవుతోంది,పథకం
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
గంటల వ్యవసాయానికి,చేస్తున్నారు,కోసం
శ్రీరాంపురంలో వ్యవసాయానికి,జరుగుతోంది,వనరుల
లోక్‌సభ సభ్యులు,ఎన్నుకుంటారు,ఒకరిని స్పీకర్‌గా
స్పీకర్‌కు సహాయంగా,ఎన్నుకుంటారు,డిప్యూటీ స్పీకర్‌ను
సార్వత్రిక ఎన్నికల,అవుతుంది,లోక్‌సభ
స్వీకార కార్యక్రమ,ఎంచుకుంటారు,ఒకరిని
సభా నిర్వహణ,స్పీకరుదే,ఆపై
కుమార్ మహిళా,నిర్వర్తిస్తున్నరు,విధులు
స్పీకర్ సమావేశంలో,నిర్ణయించుకుంటుంది,చర్చకు
సభలో సభ్యులు,ప్రసంగించారు,వ్యాఖ్యలను
కోర్టులు డబ్బు,ప్రాతినిధ్య,బిల్లులోని సభ 1971 చిహ్నాలకు
సాధారణ ఎన్నికల,సమర్పించబడుతుంది,తాత్కాలికాధికారం కు
ఎన్నికల సమావేశం,నిర్వహించబడుతుంది,స్పీకర్
అతను 1965,జన్మించాడు,దంపతులకు
సంవత్సరాలుగా పనులు,భాగమైంది,జీవితంలో
అక్కడి ఎవరు,వస్తున్నాడు,ముందుకు ఖర్చులతో
సంవత్సరం ఏదో,జరపుతున్నాడు,కాశీకి
కృష్ణా పుష్కరాల,చేశాడు,డ్యూటీలో విజయవాడలో అనుమతితో ఇప్పటి
అతను వృద్ధాశ్రమాలు,కోరుకుంటున్నాడు,లేని సమాజం
సంస్థకు సేవా,పంచుకుంటుంటారు,సేవలలో
కడప జిల్లా,తలపిస్తుంది,దూరంలోని స్థలంలో బాతులూ నిర్మాణాలతో
అనారోగ్యంతో ఇబ్బంది,ఉంటారు,పడుతున్నవారూ
50లక్షలకు తోడు,రూ,పైసా పైసా
2011లో ఆశ్రమంలో,నిర్మించాడు,నిర్వాహకులూ
అతను వృద్ధులకు,అందిస్తుంటాడు,వైద్యాన్ని
ఉద్యోగంలో జీతంలో,వినియోగిస్తుంటాడు,సేవలకు
ఆశ్రమంలో సేవా,ఉంచుతాడు,కార్యక్రమాల్ని
2కోట్లు స్థలాన్ని,వచ్చారు,ముందుకు
మనసు,మారితే,‘భవిష్యత్తులో
ఆశ్రమ ఆస్తుల్ని,పెట్టాడు,నిబంధన
భవిష్యత్తులో వాటిని,భావన,పెద్దమొత్తంలో బ్యాంకులో
సేవా సేవాకార్యక్రమలను,పడింది,చిన్నారులపై
ఉద్దేశంలో కడపలోని,చేశాడు,హోటళ్ల బాక్సులు
తినుబండారం,వెయ్యండి,ఏదైనా
దాతలు వేసిన,పెట్టారు,వీటిలో అనాథశరణాలయాల్లోని బాలలకి
కేకు తయారు,చేయిస్తారు,ఆందరితో కట్
రక్తదానం,ప్రోత్సహిస్తాడు,వారందరినీ
ఆసుపత్రి నుంచైనా,చేస్తారు,దాతలకు
అతను వృత్తిలో,చేయించారు,1993లో చెరువులోంచి
శవాన్ని ముందుకు,చేసాడు,నౌకరుతొ దానిని
అంతిమ సంస్కారం,చేస్తున్నాడు,వారణాసిలో
దహన సంస్కారానికి,చేస్తుంటాడు,సొమ్ములో
యేటా డిసెంబరులో,వెళతాడు,కాశీ
తాను అంత్యక్రియలు,చేస్తాడు,పేరున గంగానది
రమణ సేవాభావం,కదిలించింది,జిల్లాలో ఎందరిలో
వెంకటరమణకు కుమారులు,ఉన్నారు,కూమర్తెలు
పరమాత్మ తపోవనాశ్రమంలో,లక్ష్యం,వృద్ధాశ్రమంలో వృద్ధులకు పశుపక్ష్యాదులతో
గాయకులకు ప్రక్క,పొందారు,మృదంగాన్ని మన్ననలను
పుదుక్కోటకు దక్షిణామూర్తి,పొందారు,శిక్షణను
సువర్ణ పతకాలను,పొందారు,గౌరవం
విజాపుర జిల్లా,ఉండేది,రాష్ట్రంలో
ఆదిల్ షా,ఉన్నాయి,కాలంనాటి
బిజ్జపూర విజాపుర,జిల్లా,కర్ణాటక రాష్ట్రానికి
ఆదిల్‌షాహి వంశస్థులు,ఉన్నాయి,జిల్లాలో
ఆంగ్లేయుల పాలనలో,ఉండేది,ప్రెసిడెన్సీలో
స్వాతంత్ర్యానంతరం 1948లో,చేర్చారు,రాష్ట్రంలో
భాషాప్రయుక్త రాష్ట్రాలు,చేర్చబడింది,1956లో విజాపురను
area by,క్రీ,that the
మాల్వా వంశస్థుల,స్థాపించాడు,దండయాత్ర రాష్ట్రకూట సామ్రాజ్యం పతనావస్థకు
శతాబ్దం ఆఖరి,చేర్చబడింది,లోకి
1347లో జిల్లాభూభాగాన్ని,ఆక్రమించుకున్నారు,గుల్బర్గాకు బహ్మనీ సుల్తానులు
సమయంలో విజయపూర్,పిలువబడింది,బీజపూర్
1518లో బహ్మనీ,విభజించబడింది,రాజాస్థానాలుగా
స్వతంత్ర బీజపూర్,చేరింది,స్థితికి
1686 నాటికి,చేరింది,మొగల్ బీజపూర్‌ను ముగింపుకు
1724లో హైదరాబాదు,చేసాడు,నిజాం స్వతత్రం దక్కన్‌లో సామ్రాజ్య
నిజాం బీజపూర్‌ను,చేసుకున్నాడు,తనరాజ్యంలో
1760లో మరాఠీలు,ఓడించారు,నిజాంను
బీజపూరును నిజాం,వశంచేసాడు,మరాఠీల
మరాఠీ యుద్ధంలో,ఓడించబడ్డాడు,బ్రిటిష్ చేతిలో
బీజపూర్ బ్రిటిష్,అయింది,సామ్రాజ్యంలో
రాజ్యానికి చివరి,చేయబడింది,1848లో ప్రొవింస్‌లో
జిల్లాభూభాగన్ని బ్రిటిష్,రూపొందించింది,ప్రభుత్వం పేరుతో జిల్లాగా
జిల్లాలో ప్రస్తుత,ఉన్నాయి,జిల్లాలు
జిల్లకు బీజపూర్,చేయబడింది,కేంద్రంగా
భారతదేశానికి స్వతంత్రం,మారింది,1947లో రాష్ట్రంలో
1956లో మైసూరు,అయింది,రాష్ట్రంలో
మునుపటి జిల్లాలోని,చేయబడ్డాయి,జిల్లాలో
కోటచుట్టూ కందకం,త్రవ్వించబడింది,గజాల వెడల్పుతో
1566లో ఆదిల్షా,చేసాడు,కోట
కోట రక్షణదళం,ఉండేది,నిలిచి
భారతదేశానికి స్వాతంత్ర్యం,అయింది,జిల్లాలో
1956లో దక్షుణభారతదేశం,అయింది,రాష్ట్రంలో
1997లో విజాపుర,రూపొందించబడింది,జిల్లా కొంతభూభాగం జిల్లా
ఉత్తర భాగంలో,ఉన్నాయి,జిల్లా భూభాగం
సజ్జాడే పీరన్,నియమించబడ్డాడు,2014లో
జాతులను బాయూబాబ్,అంటారు,వీటిలో
బీజపూరులో గుర్తించి,చేర్చారు,జాబితాలో
పరిశోధకులు రాజా,భావిస్తున్నారు,షా ఆరాధకుడని
అడసోనియా డిజిటా,భావిస్తున్నారు,టర్కీ
బీజపూర్ జిల్లాలో,చేస్తుంది,మార్గంతో
సైనిక్ స్కూలు,ఉపయోగిస్తున్నారు,అవసరాలకు
ప్రభుత్వానికి స్వంతమైన,నడుపుతుంది,ప్రాంతాలకు బసులను
హుబ్లి ధార్వాడ,నడుపుతుంది,ప్రైవేట్ బసులను
ఆసియాదేశం ముస్లింపాలకుల,వచ్చారు,ఇక్కడకు
అత్యధికులు లిగాయత,చెందినవారు,వీరిలో వర్గానికి
051 షెడ్యూల్డ్,చెందినవారు,30 వర్గానికి
జిల్లాలో లంబాణి,స్థిరపడ్డారు,వర్గానికి
బీజపూర్ గుర్తింపుఒందిన,ఉన్నారు,రోడ్డు సైక్లిస్టులు
మలేషియాలో పెరిల్స్,పాల్గొన్నాడు,పోటీలలో
ఆర్ అంబేద్కర్,సేవలందిస్తుంది,క్రీడలకు ప్రధానకేంద్రంగా
అంబేద్కర్ స్పోర్ట్స్,అందిస్తుంది,వాలీబాల్ క్రీడలకు సౌకర్యాలను
మెడికల్ ఇంజనీరింగ్,అందిస్తుంది,కాలేజి
ప్రాంతంలోని కబడీ,గుర్తిస్తుంది,కోకో
భీంసేన్ జోషి,పాల్గొంటున్నారు,ఉత్సవంలో
వేసవి కాలంలో,ప్రదర్శించబడుతుంటాయి,దియేటర్‌లో
బీజపూర్ మదీనాతుల్,నగరం,ఔలియా
సూఫీ సన్యాసులలో,తీసుకున్నారు,బీజపూర్‌లో
జిల్లాలో ఔలియా,కనిపిస్తుంటాయి,ఆచరణలో
వృత్తివిద్యాసంస్థలతో విద్యాసంస్థలు,ఉండేవి,గ్రాజ్యుయేట్
వృత్తివిద్యాసంస్థలు కాలేజీలు,నిర్వహించబడుతున్నాయి,విశ్వవిద్యాలయం ఆధ్వర్యంలో
ఇంజనీరింగ్ కాలేజీలు,నిర్వహించబడుతున్నాయి,విశ్వవిద్యాలయం ఆధ్వర్యంలో
డిఫెంస్ ఫోర్స్‌కు,చెప్పుకుంటారు,రెసిడెంషియల్ బీజపూరులో
కర్ణాటకా యూనివర్శిటీ,స్థాపించింది,బీజపూర్‌లో విశ్వవిద్యాలయం
అంజుతగి ఇండి,చేపట్టింది,తాలూకాలో
గ్రామంలో ప్రభుత్వ,ఉన్నాయి,రెండు
బాలబడి మాధ్యమిక,ఉన్నాయి,బెళగల్లో
సైన్స్ డిగ్రీ,ఉన్నాయి,కళాశాల కర్నూలు
గ్రామంలో కుళాయిల,జరుగుతోంది,సరఫరా
మురుగునీరు బహిరంగ,ప్రవహిస్తుంది,కాలువల
గ్రామంలో పారిశుధ్య,అమలవుతోంది,పథకం
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
గంటల వ్యవసాయానికి,చేస్తున్నారు,కోసం
""" కూనంనేని",గ్రామం,మండలానికి
నాయుడు చెరువు,నీరు,ప్రభుత్వం ప్రతిష్ఠాత్మకంగా
తేదీనాడు చెరువులో,చేపట్టినారు,పనులు
యంత్రం రైతులు,తరలించుకొనుచున్నారు,ట్రాక్టర్లతో పొలాలకు
చెరువులో నీటి,చేస్తున్నారు,పొలాలకు
2013 జూలైలో,ఎన్నికైనారు,సర్పంచిగా
మహిళలు పొంగళ్ళతో,సమర్పించినారు,నాభిశిల వద్దకు
కార్యక్రమంలో భక్తులు,పాల్గొన్నారు,అధికసంఖ్యలో
చీమకుర్తి విగ్రహాన్ని,నిర్వహించారు,గ్రామంలోనికి
కార్యక్రమానికి పరిసరప్రాంతాలనుండి,వచ్చారు,అధికసంఖ్యలో తరలి
వరి అపరాలు,వి,గ్రామానికి కష్టపడి విదేశాలలో స్థిరపడి
ఎస్ నల్లూరి,తోడ్పడుచున్నారు,ఫౌండేషను గ్రామాభివృద్ధికి
మందస మండలానికి,చూడండి,విషయాలకు వ్యాసం
మందస శ్రీకాకుళం,కేంద్రము,జిల్లా పేరుతో
గ్రామంలో కుళాయిల,జరుగుతోంది,సరఫరా
గ్రామంలో ఏడాది,అందుతుంది,చేతిపంపుల
మురుగునీరు బహిరంగ,ప్రవహిస్తుంది,కాలువల
గ్రామంలో పారిశుధ్య,అమలవుతోంది,పథకం
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
గంటల వ్యవసాయానికి,చేస్తున్నారు,కోసం
ఎర్రని ఇసుక,వర్ణనాతీతం,రాయితో శైలిలో
కాలంలో మందసా,ఉన్నారట,ఆలయప్రాంగణంలోనే కాశీ చర్చలలో
మందసా రామానుజులు,అంగీకరించారు,వారిని
నాటి రాత్రి,కలవచ్చింది,ఆలయప్రాంగణంలో శిష్యులిద్దరికీ రాజమండ్రి గోదావరి వరదలో
శిష్యులిద్దరు విద్యాభ్యాసానికి,చెప్పారు,గారివద్దకు సంగతి
గురువుగారు ఆలయంలో,చేసినారట,వారిని ఊరడించి వద్దకు
సమయంలో వాసుదేవుని,ప్రసరించినదట,దివ్యమయిన
కాలాంతరంలో దివ్యమైన,చేరుకుంది,ఆలయం నిరాదరణకు శిథిలావస్థకు
1683ఎకరాలు మాన్యం,శిథిలమయ్యింది,స్వార్థానికి
ఆలయగోడలమీద పిచ్చిమొక్కలు,ఉండిపోయింది,జనబాహుళ్యానికి
సమయంలో 1988,సంకల్పించారు,ఆలయ
ప్రభుత్వ లాంచనాలు,ఆలయాన్నిపునర్నిర్మింపచేసారు,ఆలయాన్ని యదాతధంగా
గురువు పెద్దజీయరు,స్వామివారు,విద్యాభ్యాసానికి గుర్తుగా శతాబ్ది ఉత్సవాల్లో
ఫిబ్రవరి నెలలో,జరిగింది,ఆలయాన్ని
ప్రస్తుతం గుడి,తీసుకోబడుతున్నాయి,దేవునికే
బాలబడి వల్లూర్,ఉన్నాయి,షెల్గరలోనూ
సైన్స్ డిగ్రీ,ఉన్నాయి,కళాశాల కళాశాల బీదర్లో
వైద్య కళాశాల,ఉన్నాయి,కళాశాల బీదర్లో
వృత్తి విద్యా,ఉన్నాయి,హైదరాబాదు
గ్రామంలో కుళాయిల,జరుగుతోంది,సరఫరా
మురుగునీరు బహిరంగ,ప్రవహిస్తుంది,కాలువల
గ్రామంలో పారిశుధ్య,అమలవుతోంది,పథకం
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
జిల్లా రహదారి,పోతోంది,గ్రామం
రీడింగ్ రూం,5,పబ్లిక్
గంటల వ్యవసాయానికి,చేస్తున్నారు,గంటల కోసం
అశేష భక్తులు,చేసింది,నిత్యం తీర్థం వీధిలో వాతావరణంలో
వెలుగులు అవి,పి,విద్యాలయంలో
కాలంలో తిరుమల,పనిచేశారు,కార్యదర్శిగా
దర్శిగుంటపేట ప్రకాశం,గ్రామము,జిల్లా మండలానికి
తూర్పున పామూరు,మండలం,మండలం
బాలబడి మాధ్యమిక,ఉన్నాయి,ఖానాపూర్లో
సైన్స్ డిగ్రీ,ఉన్నాయి,కళాశాల నిర్మల్లోనూ
వైద్య కళాశాల,ఉన్నాయి,కళాశాల నిర్మల్లోనూ
వృత్తి విద్యా,ఉన్నాయి,నిర్మల్లో
పారామెడికల్ సిబ్బంది,ఉన్నారు,ఒకరు
గ్రామంలో ప్రైవేటు,సౌకర్యాలున్నాయి,వైద్య
గ్రామంలో కుళాయిల,జరుగుతోంది,సరఫరా
గ్రామంలో ఏడాది,అందుతుంది,చేతిపంపుల
కాలువ వాగు,లభిస్తుంది,గ్రామానికి
మురుగునీరు బహిరంగ,ప్రవహిస్తుంది,కాలువల
మురుగునీటిని శుద్ధి,పంపిస్తున్నారు,ప్లాంట్‌లోకి
గ్రామంలో పారిశుధ్య,అమలవుతోంది,పథకం
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
గంటల వ్యవసాయానికి,చేస్తున్నారు,గంటల కోసం
నిచ్చెనమెట్ల కర్నూలు,గ్రామము,మండలానికి
సైన్స్ డిగ్రీ,ఉన్నాయి,కళాశాల బనగానపల్లెలోనూ
దివ్యాంగుల ప్రత్యేక,ఉన్నాయి,కర్నూలు
సంచార వైద్య,లేరు,శాలలో
గ్రామంలో కుళాయిల,జరుగుతోంది,సరఫరా
గ్రామంలో ఏడాది,అందుతుంది,చేతిపంపుల
మురుగు నీరు,ప్రవహిస్తుంది,కాలువల
మురుగు నీటిని,వదులుతున్నారు,జలవనరుల్లోకి
గ్రామంలో పారిశుధ్య,అమలవుతోంది,పథకం
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
గంటల వ్యవసాయానికి,చేస్తున్నారు,కోసం
కాల్సియం నైనమిడ్,అంటారు,వాణిజ్య
అడాల్ఫ్ ఫ్రాంక్,చేసారు,1898లో
కాల్షియం నైనమిడ్,జరుపును,నీటితో
కాల్సియం సైనమిడ్,అగును,కార్బోనేట్‌తో
కార్బన్ డయాక్సైడ్,ఏర్పడును,సమక్షలో
కాల్సియం సైనమిడ్,చేయుదురు,కార్బైడ్
కాల్సియం సైనమిడ్‌ను,చల్లార్చేదరు,ఉష్ణోగ్రతకు
నీటి ప్రక్షాళనచేసి,తొలగించెదరు,కార్బైడును
ప్రక్రియను భారి,చేసెదరు,గదులలో
రసాయనాలను విద్యుత్తు,వచ్చేచేసెదరు,రసాయనాలను
కాల్సియం సైనమిడ్,ఉపయోగిస్తారు,వ్యవసాయములో
నీటితో సంపర్కం,చేయును,రసాయన
కాల్సియం సైనమిడ్,అగును,కార్బోనేట్
కాల్సియం సైనైడ్,వాడెదరు,ఉత్పత్తిలో
ఉక్కు తయారీలో,ఉపయోగిస్తారు,లోహంలో నైట్రోజన్
జిల్లా పాకిస్థాన్,పంచుకుంటుంది,దేశానికి జిల్లాతో సరిహద్దును
పఠాన్‌కోట్ పాటియాలా,వచ్చింది,రాజాస్థానానికి
ముగల్ చరిత్రకారులు,అనేవారు,పైథన్
రాజా వాదుదేవ్,తరలించబడింది,కాలంలో పఠాన్‌కోట ధమేరికి
గుజ్రంవాలాకు రంజిత్,చేసుకున్నాడు,ప్రాంతాన్ని
జిల్లాలోని ధరివాల్,ఉన్నాయి,చరిత్రతో
2011 జూలై,చేయబడింది,జిల్లాగా
సైనికుల నగరంగా,పొందింది,పేరు
పెనుమల్ల తూర్పు,గ్రామము,గోదావరి మండలానికి
బాలబడి ప్రాథమికోన్నత,ఉన్నాయి,లక్ష్మివాడలో
సైన్స్ డిగ్రీ,ఉన్నాయి,చెయ్యేరులోనూ
వైద్య కళాశాల,ఉన్నాయి,కళాశాల అమలాపురంలో
వృత్తి విద్యా,ఉన్నాయి,అమలాపురం
సంచార వైద్య,లేరు,శాలలో
గ్రామంలో ప్రైవేటు,సౌకర్యాలున్నాయి,వైద్య
గ్రామంలో ఏడాది,అందుతుంది,చేతిపంపుల
మురుగునీరు బహిరంగ,ప్రవహిస్తుంది,కాలువల
గ్రామంలో పారిశుధ్య,అమలవుతోంది,పథకం
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
గంటల వ్యవసాయానికి,చేస్తున్నారు,కోసం
బ్రతికి కళాకారులన,పట్టించుకోకుండా,సృజనాత్మాకత లబ్ధి
హాస్పిటల్ డిశ్చార్జి,వస్తాడు,ఇంటికి
మురారి పోస్ట్,వేస్తాడు,గ్రాడ్యుయేషన్
అతని నటనను,ప్రశంసిస్తారు,ప్రేక్షకులు
ప్రశంసలకు పొంగిపోయిన,చేస్తాడు,మోజులో
చదువు నాటకం,చెడతాడు,రెండికి
మురారి మాటలను,వాణీనాధం,పెడచెవిని
కూతురిని,వెళతాడు,తనతో
వాణీనాధాన్ని డాక్టర్,చూపుతాడు,గంగాజలానికి మొడికల్ రిపోర్ట్
కవిగారు రోజులకంటే,చెబుతాడు,బ్రతకడని
గంగాజలం అందరికీ,చెబుతాడు,రెండురోజులే అందరికీ
కవిగారికి వీడ్కోలు,పడతారు,దానితో యోచనలో
కవిగారికి శిలా,నిర్ణయిస్తాడు,చెక్కి
కౌన్సిలర్లని కవి,వెళతాడు,ఇంటి
నివ్వెర కౌన్సిలర్లు,చెబుతారు,దీనితో మాటను
హుటాహుటిన ఛైర్మన్,చచ్చిపోమంటారు,వాణీనాధాన్ని
వాణీనాధం,చంపబోతారు,అతడిని
మురారి మాటలతో,వెళతారు,వాణీనాధాన్ని విగ్రహం వాణీనాధాన్ని
సమకాలీన జీవితంలో,వారెందరో,ప్రతిభకు గుర్తింపు
మురారి పాత్రధారణతో,సంపాదించుకన్నారు,పేరు ప్రఖ్యాతలు
రావుగోపాలరావు మురారి,పోయేరు,పాత్రలో
వ్యాసాల,ఇచ్చారు,జాబితాను
ఆంధ్రపత్రికలో మార్క్,చేసారు,నవలలకు
నండూరి ఏటనే,ప్రారంభించారు,పాత్రికేయుడిగా ప్రస్థానం
తేదీన మేనమామ,వివాహమాడారు,కూతురు రాజేశ్వరిని
1947 నెలలు,చేరారు,పత్రికలో ఉద్యోగంలో
1948 1960,పనిచేశారు,లో
1960 1994,చేశారు,పత్రికలో
సమయంలోనే జ్యోతిచిత్ర,ఉన్నారు,పత్రికలకు
జర్నలిస్టు జీవితం,ప్రారంభమైంది,‘ఆంధ్రపత్రిక’లో
1948 1960,పనిచేశారు,పత్రిక’లో
సహ సంపాదకుడి,పెట్టారు,1960లో ‘ఆంధ్రజ్యోతి’లో
మందిని పాత్రికేయులుగా,దిద్దారు,తీర్చి
తొలితరం సంపాదకుడు,చేశారు,రావుతో
సుప్రసిద్ధ ఆంగ్ల,కారణం,తెలుగులో
మార్క్‌ట్వేయిన్ టామ్,అనువదించారు,పేర్లతో
నండూరి ఖగోళ,‘విశ్వరూపం,శాస్త్రాలను
మానవాళి పరిణామ,దర్శనం,క్రమానికి
నండూరి సవ్యసాచి,రచించారు,పేరుతో పేరుతో
మిత్రలాభం మిత్ర,అందించారు,మాటలను
ఇంద్రగంటి శ్రీకాంత,సంకల్పం,శర్మతో
రోజున నండూరి,సత్కరించారు,రామమోహనరావును
పాత్రికేయులు,సంబంధాలున్నాయి,రచయితలతో
ఆంధ్రపత్రికలో వారపత్రికకు,చర్చించేవారు,హేమాహేమీలతో సాహిత్యంపై
ఆంధ్రపత్రిక వీక్లీలో,సంకల్పించినప్పుడు,ఆంగ్ల రచనలను తెలుగులోకి అనువదించి
అనువాద బాధ్యతలను,అప్పగించారు,నండూరికే
ప్రపంచ ప్రధాన,సా,మత సంప్రదాయాలకు భారతదేశం
పారసీ మతం,ఆచరిస్తున్నారు,చరిత్రలో
ప్రపంచంలో బాహాయి,నివసిస్తుంది,విశ్వాసాలను భారతదేశంలో
మతాలు భారతీయ,కలిగివున్నాయి,ఆధ్యాత్మికతతో
ఉదాహరణకు బాహాయి,గుర్తిస్తుంది,అవతారాలుగా
భారతీయులు అనుబంధం,ఉన్నారు,మతంతో
""" మతాలకు",అభిప్రాయపడ్డారు,హార్డాన్
భారత రాజ్యాంగం,ప్రకటించింది,దేశాన్ని లౌకిక
భారతదేశ సుప్రీంకోర్టు,కల్పించింది,పౌర చట్టానికి ముస్లిం
హిందూ మతం,గుర్తించారు,ప్రపంచంలో
చరిత్ర పూర్వ,దొరకాయి,ఉపఖండంలో
నవీన శిలా,చేశారు,సింధు లోయలో
3300–1700 BCE,ఘగ్గార్,మధ్యకాలానికి
హక్రా నది,పూజించివుండవచ్చు,లోయల్లో
సింధు లోయ,అగ్ని,అగ్నికి
ఆర్యన్‌ల మతం,ఉన్నాయి,అంశాల్లో
BCE కాలానికి,రాశారు,కాలంలో
మీమాంస వేదాంతంతోపాటు,ఏర్పాటయ్యాయి,తత్వశాస్త్రంలో
సంపూర్ణ భౌతిక,పరిగణిస్తున్నారు,సిద్ధాంతానికి శతాబ్దం కాలంలో
హిందూ మతంలో,గమనార్హం,ఉద్యమానికి
సాంప్రదాయిక సంఖ్యా,గుర్తించబడుతున్నాయి,ఆస్తికవాదంగా
24వ జైన,బోధించారు,తీర్థంకరుడైన ప్రమాణాలను
మగధ వంశం,స్థాపించారు,ప్రారంభానికి వంశంలో బౌద్ధమతాన్ని
